address;latitude;longitude;district
Варшавское шоссе, владение 99А;55.632713;37.620636;район Чертаново Северное
город Москва, Варшавское шоссе, владение 129Г;55.611806;37.611464;район Чертаново Центральное
город Москва, Варшавское шоссе, владение 132/1;55.620926;37.609425;район Чертаново Центральное
город Москва, Варшавское шоссе, владение 132/2;55.620316;37.608922;район Чертаново Центральное
город Москва, Варшавское шоссе, дом 1;55.703129;37.623313;Донской район
город Москва, Варшавское шоссе, дом 100;55.646233;37.618821;район Москворечье-Сабурово
город Москва, Варшавское шоссе, дом 102, строение 2;55.644623;37.618965;район Москворечье-Сабурово
город Москва, Варшавское шоссе, дом 116;55.633922;37.617204;район Чертаново Северное
город Москва, Варшавское шоссе, дом 118, корпус 1;55.631773;37.618031;район Чертаново Северное
город Москва, Варшавское шоссе, дом 122А;55.629567;37.616521;район Чертаново Северное
город Москва, Варшавское шоссе, дом 125, корпус 3;55.622416;37.619513;район Чертаново Северное
город Москва, Варшавское шоссе, дом 125, строение 15;55.625532;37.618543;район Чертаново Северное
город Москва, Варшавское шоссе, дом 125, строение 3;55.62945;37.621723;район Чертаново Северное
город Москва, Варшавское шоссе, дом 125Ж, корпус 5;55.622497;37.621525;район Чертаново Северное
город Москва, Варшавское шоссе, дом 125Ж, корпус 6;55.622085;37.621444;район Чертаново Северное
город Москва, Варшавское шоссе, дом 127;55.621211;37.616396;район Чертаново Центральное
город Москва, Варшавское шоссе, дом 129;55.614378;37.614096;район Чертаново Центральное
город Москва, Варшавское шоссе, дом 132, сооружение 1;55.618872;37.612829;район Чертаново Центральное
город Москва, Варшавское шоссе, дом 132, строение 10;55.61934;37.609128;район Чертаново Центральное
город Москва, Варшавское шоссе, дом 132, строение 9;55.620901;37.610449;район Чертаново Центральное
город Москва, Варшавское шоссе, дом 132А;55.616747;37.61088;район Чертаново Центральное
город Москва, Варшавское шоссе, дом 133;55.604102;37.607862;район Чертаново Южное
город Москва, Варшавское шоссе, дом 135Б;55.596335;37.602885;район Чертаново Южное
город Москва, Варшавское шоссе, дом 138;55.61327;37.60779;район Чертаново Центральное
город Москва, Варшавское шоссе, дом 14, строение 1;55.696022;37.619764;Донской район
город Москва, Варшавское шоссе, дом 141, корпус 10;55.589203;37.602714;район Чертаново Южное
город Москва, Варшавское шоссе, дом 141, корпус 11;55.588415;37.601807;район Чертаново Южное
город Москва, Варшавское шоссе, дом 141, корпус 12;55.588649;37.604448;район Чертаново Южное
город Москва, Варшавское шоссе, дом 143;55.583566;37.600118;район Чертаново Южное
город Москва, Варшавское шоссе, дом 143, корпус 5А;55.581139;37.597998;район Чертаново Южное
город Москва, Варшавское шоссе, дом 143А;55.583953;37.599157;район Чертаново Южное
город Москва, Варшавское шоссе, дом 144, корпус 2, строение 2;55.603791;37.604241;район Чертаново Центральное
город Москва, Варшавское шоссе, дом 145, корпус 8;55.578574;37.602579;район Чертаново Южное
город Москва, Варшавское шоссе, дом 148;55.60102;37.602526;район Чертаново Южное
город Москва, Варшавское шоссе, дом 152, корпус 2;55.591259;37.598348;район Чертаново Южное
город Москва, Варшавское шоссе, дом 152А;55.594514;37.599166;район Чертаново Южное
город Москва, Варшавское шоссе, дом 153;55.577551;37.597172;район Чертаново Южное
город Москва, Варшавское шоссе, дом 160;55.582991;37.595249;район Чертаново Южное
город Москва, Варшавское шоссе, дом 170А;55.581373;37.595465;район Чертаново Южное
город Москва, Варшавское шоссе, дом 170Б, строение 4;55.581444;37.590542;район Чертаново Южное
